id,title,description
15622215958853,Impermeabile per cani cambia colore con l'acqua Clouds Croci,"<p><strong>Impermeabile cane cambia colore - Clouds </strong>è una simpatica giacca per cani realizzata in tessuto impermeabile di alta qualità. Impermeabile per cani con stampe di nuvolette che cambiano colore una volta entrate in contatto con l’acqua.</p>
<p>Caratteristiche principali del capo d'abbigliamento per cani:</p>
<div class=""prose"">
<ul>
<li>Impermeabile per cane <strong>con stampa di nuvolette che cambiano colore una volta entrate in contatto con l’acqua</strong>, che rende questo prodotto non solo funzionale, ma anche simpatico e alla moda</li>
<li>
<strong>prodotto richiudibile e tascabile</strong>: dotato di una tasca rimovibile sulla schiena, che ti permette di riporre comodamente al suo interno l’impermeabile</li>
<li>Tessuto morbido e impermeabile rivestito in <strong>mesh traspirante</strong>
</li>
<li><strong>Chiusura regolabile con bottoni a clip</strong></li>
<li><strong>Elastici sulla pancia e sulle zampe posteriori</strong></li>
<li>Vestibilità perfetta</li>
<li>Dimensioni disponibili riferita alla misura del dorso (base del collo - attaccatura della coda): 15 CM, 20 CM, 25 CM, 30 CM, 35 CM, 40 CM, 45 CM, 50 CM, 55 CM, 60 CM.</li>
</ul>
</div>
<p><strong>Proteggi il tuo pet dalla pioggia con l’impermeabile cane e fallo con grande stile, grazie a Croci!</strong></p>
<p>Questa giacca è perfetta per mantenere il tuo cane asciutto durante le giornate di pioggia. La fodera in mesh traspirante garantisce al tuo cane una ventilazione ottimale.</p>
<p>Questa giacca per cani è disponibile in diverse dimensioni, adatta a cani di tutte le taglie e gusti. <strong>Regala al tuo pet un’esperienza confortevole e super trendy</strong>.</p>
<p><strong>Come funziona il cambio di colore della fantasia? </strong>La fantasia di base e che ti arriverà comodamente a casa tua una volta acquistato il prodotto, è quella con il sole che fa capolino dalle nuvolette. Una volta entrata a contatto con l'acqua, la fantasia man mano passerà a quella con le nuvolette grigie e i lampi. (Vedi foto esplicativa di passaggio da una fantasia all'altra, in gallery)</p>
<p><strong>Non sbagliare taglia! Ecco come scegliere quella più corretta:</strong></p>
<p>Per scegliere la taglia ideale e non sbagliare la misura dell'impermeabile per cane, ti consigliamo di misurare con un metro da sarta il dorso del tuo pet seguendo questo semplice step:</p>
<p>La misurazione del dorso del cane: si effettua passando il metro dalla fine del collo alla coda del cane, prendendo come riferimento il punto che si trova subito dietro le zampe anteriori.<br>Durante la misurazione ricordati di lasciare due dita di margine per garantire una migliore vestibilità.</p>
<p>Una volta effettuata la misurazione è necessario confrontarla con le misurazioni proposte nei modelli. (Per ulteriori info, consulta la tabella di misurazione presente in gallery fotografica)</p>
<p> </p>
<p> </p>
<p> </p>
<p> </p>"
15622214517061,Impermeabile Favola Pied de Poule Ferribiella,"<p><strong>Impermeabile Favola Pied de Poule Ferribiella </strong>è perfetto per proteggere il tuo amico a quattro zampe. Leggero e funzionale, offre un velo di materiale morbido e impermeabile che copre l'interno in tessuto fresco, creando un piacevole effetto di trasparenza. Il pack tascabile a bustina e i dettagli finemente rifiniti rendono questo impermeabile pratico e alla moda.</p>
<p>Caratteristiche principali dell' <strong>Impermeabile Favola Pied de Poule Ferribiella:</strong></p>
<div class=""prose"">
<ul>
<li>
<strong>impermeabile leggero e funzionale</strong> per proteggere il tuo amico a quattro zampe;</li>
<li>chiusura in velcro salva-pelo;</li>
<li>regolazioni con elastico;</li>
<li>asola per pettorina con aletta di copertura;</li>
<li>materiale esterno: 100% PU;</li>
<li>materiale interno: 100% Poliestere;</li>
<li>disponibile in diverse misure.</li>
</ul>
</div>
<p>Come misurare il cane:</p>
<div class=""prose"">
<ol>
<li>
<strong> MISURARE LA SCHIENA</strong>: prendi un metro da sarta, misura la lunghezza della schiena , partendo dalla base del collo , dove cade il collare , fino all'attaccatura della coda.</li>
<li>
<strong>MISURARE IL TORACE</strong>: prendi un metro da sarta, misura la circonferenza del torace appena dietro le zampe anteriori , il metro dovra' essere aderente, aggiungere 1 Cm per una calzata comoda e corretta.</li>
<li>
<strong> MISURARE IL COLLO</strong>: prendi un metro da sarta, misura la circonferenza alla base , dove cade il collare , il metro dovra' essere aderente, aggiungere 1 Cm per una calzata comoda e corretta.</li>
</ol>
</div>"
15622249611589,Impermeabile tascabile Red Dogs Croci,"<p>L' <strong>Impermeabile tascabile Red Dogs Croci</strong> è l'accessorio con taschino richiudibile su se stesso e pronto all'uso, grazie alla comoda busta incorporata, di cui non sapevi di avere bisogno! Perfetto in qualsiasi stagione, per riparare il vostro cane dalla pioggia. </p>
<p></p><h3>Caratteristiche principali dell'impermeabile con taschino per cani Croci:</h3>
<div class=""prose"">
<ul>
<li>con foro per il passaggio del moschettone del guinzaglio</li>
<li>sottopancia elastico per una maggiore vestibilità e aderenza</li>
<li>regolazione con doppia fila di bottoni a clip</li>
<li>elastico con zampe </li>
<li><strong>comoda busta porta-impermeabile inclusa, per richiudere su se stesso il prodotto</strong></li>
<li>made in Italy</li>
<li>giubbotto per cani waterproof</li>
</ul>
</div>
<p></p><h3>Scegli la giusta misura in base alla taglia del tuo amico a quattro zampe</h3>
<p>Per facilitarti nella scelta della taglia adatta per il tuo cane, abbiamo inserito tra le immagini la tabella che riporta le misure di riferimento per ogni misura. (vedi tabella in gallery)</p>
<p>Come prendere nella maniera corretta le misure del tuo amico a quattro zampe? Te lo spieghiamo in <strong><a href=""https://www.youtube.com/watch?v=zdmPZJPkk2s"">questo video</a></strong></p>
<p><u>La pioggia improvvisa, non sarà più un problema:</u> porta sempre con te il pratico capo d'abbigliamento per cani e utilizzalo quando se ne presenta la situazione. Poco ingombrante, facile da indossare.</p>"
15622255214917,Piumino per cani Cristallo Ferribiella,"<p>Il <strong>Piumino Cristallo Ferribiella</strong> è il capo d'abbigliamento ideale per il tuo amico a quattro zampe per proteggersi dal freddo invernale, senza rinunciare allo stile <strong>made in Italy </strong>del brand. Disponibile in diverse taglie e in diversi colori dalle tonalità tenute e dal materiale lucido.</p>
<h3><strong>Caratteristiche principali dell'impermeabile per cani Ferribiella:</strong></h3>
<div class=""prose"">
<ul>
<li>disponibile nelle <strong>colorazioni: blu - beige - rosa</strong>
</li>
<li>con asola per collare</li>
<li>con asola per pettorina</li>
<li>dotato di chiusura sottopancia con bottoni a pressione</li>
<li>regolazione sulla parte posteriore</li>
<li>composizione esterno: 50% pelle sintetica, 50% poliestere</li>
<li>composizione interno: 100% poliestere</li>
<li>imbottitura: 100% poliestere</li>
<li><strong>disponibile in diverse taglie *</strong></li>
</ul>
</div>
<p><strong>*</strong> Per scegliere la taglia giusta per il tuo cane, misurare con un centimetro, il suo dorso partendo  dal collo sino alla base della coda. Nella fase di misurazione, assicurarsi che il cane sia correttamente in piedi e ben eretto sulle zampe. <span style=""text-decoration: underline;"">Esempio scelta taglia: </span>la schiena del mio cane misura 35 cm e il cappottino che desidero acquistare viene confezionato nelle misure 34 cm e 38 cm: dovrò ordinare la taglia 38 affinché il cappotto calzi correttamente al mio cane perché la 34 risulterebbe piccola. </p>"
15622256263493,Impermeabile Go Mimetic Croci Hiking,"<p><strong>Impermeabile Go Mimetic Croci Hiking</strong> è una giacca impermeabile e traspirante concepita per offrire la massima protezione dalla pioggia. Richiudibile su se stesso, diventa una pratica e tascabile busta appendibile.</p>
<p>Caratteristiche principali:</p>
<ul>
<li>il tessuto superficiale è silenzioso e <strong>si adatta al movimento del cane</strong>
</li>
<li>adatta anche a cani di grandi dimensioni che non amano indossare capi d'abbigliamento</li>
<li>dotata di cappuccio e finiture riflettenti</li>
<li>
<strong>facilmente regolabile</strong> grazie agli elastici su vita, zampe e collo</li>
<li>fodera in mesh traspirante</li>
<li>cerniera impermeabile sulla schiena che permette quindi alla pancia di rimanere completamente riparata dall'acqua</li>
<li>dotato di fibbia sul dorso che facilita la vestizione</li>
<li>disponibile nelle<strong> dimensioni: 45 cm - 50 cm - 55 cm - 60 cm - 65 cm - 70 cm - 80 cm</strong> (misura la lunghezza del dorso del tuo cane per scegliere la corrispettiva taglia corretta)</li>
<li>fantasia: mimetica militare</li>
<li>richiudeibile su se stesso e facilmente trasportabile</li>
</ul>
<p><span style=""text-decoration: underline;"">Tieni il tuo cane al caldo, senza rinunciare allo stile.. con Croci Hiking !</span></p>"
15622256230725,Tuta Impermeabile Hymalaya Croci Hiking,"<p><strong>Tuta Impermeabile Hymalaya Croci Hiking</strong> è una giacca/tuta impermeabile e antivento, grazie alla speciale fodera che modera la dispersione termica e regola la temperatura corporea dell’animale, è ideale anche nelle giornate più fresche.</p>
<p>Caratteristiche principali:</p>
<ul>
<li>
<strong>dotata di regolazione</strong> sulla vita e alle zampe, adattandosi così alle varie lunghezze</li>
<li>foro passante sulla schiena adatto per il passaggio del guinzaglio connesso sia a collari che a pettorine</li>
<li>particolarmente gradita anche dai cani di grandi dimensioni che non amano vestirsi perchè confortevole e silenzioso quando indossata</li>
<li>dotata di cerniera impermeabile sulla schiena</li>
<li>il tessuto superficiale è robusto, silenzioso e <strong>si adatta al movimento del cane</strong>
</li>
<li>i dettagli riflettenti aumentano la visibilità del cane anche in condizioni di scarsa illuminazione</li>
<li>disponibile nelle <strong>dimensioni: 25 cm - 30 cm - 35 cm - 45 cm - 50 cm - 55 cm -60 cm - 65 cm</strong> (misura la lunghezza del dorso con un metro, per scegliere la taglia più consona)</li>
</ul>
<p>Consigliato l’utilizzo con temperature superiori uguali a 5 °c, o con temperature più fredde nel caso in cui il cane non necessiti di essere protetto dal freddo ma solo dalla pioggia e dal vento. <span style=""text-decoration: underline;"">Per un inverno più caldo, senza rinunciare allo stile, scegli Croci Hiking !</span></p>"
15622256460101,Impermeabile Annapurna Croci Hiking,"<p><strong>Impermeabile Annapurna Croci Hiking</strong> per animali è una giacca/cappotto impermeabile che, grazie alla speciale fodera che modera la dispersione del calore corporeo e all’imbottitura, garantisce una tenuta termica anche nelle giornate più fredde.</p>
<p>Caratteristiche principali:</p>
<ul>
<li>tessuto interno imbottito, con federa</li>
<li>tessuto esterno<strong> impermeabile e anti-vento </strong>
</li>
<li>particolarmente indicato nelle giornate piovose</li>
<li>con cerniera impermeabile sulla schiena, per proteggere il cane anche nella parte della chiusura e previene l'ingresso dell'acqua</li>
<li>con <strong>dettagli riflettenti</strong> per aumentare la visibilià del cane anche in condizioni di scarsa illuminazione</li>
<li>si adatta si adatta a diverse corporature grazie alla coulisse sulla vita, sulla coda e sul collo</li>
<li>elastici regolabili per zampe</li>
<li>foro passante sulla schiena adatto per il passaggio dle guinzaglio connesso sia a collari che pettorine</li>
<li>disponibile nelle <strong>misure: 45 cm - 50 cm - 55 cm - 60 cm - 65 cm</strong> (* misura il dorso del tuo cane con un metro, per scegliere la giusta taglia)</li>
</ul>
<p>Hiking Annapurna è  particolarmente gradito anche dai cani di grandi dimensioni che non amano vestirsi perchè è <strong>facile da indossare, confortevole e silenzioso quando indossato</strong>. In grado di proteggere il cane fino a temperature uguali o superiori a -20° c.</p>
<p>Non perderti il <strong><a href=""https://www.youtube.com/watch?v=4mxp739FAAc"">Video dedicato</a> </strong>all'abbigliamento tecnico outdoor Croci, per maggiori informazioni sul prodotto.</p>"
15622256165189,Impermeabile Nanga Croci Hiking,"<p><strong>Impermeabile Nanga Croci Hiking</strong> è una giacca/cappotto impermeabile e antivento, grazie alla speciale fodera che modera la dispersione termica e regola la temperatura corporea dell’animale è ideale anche nelle giornate più fresche.</p>
<p>Caratteristiche principali:</p>
<ul>
<li>tessuto superficiale robusto e che<strong> si adatta al movimento del cane</strong>
</li>
<li>con dettagli riflettenti che aumentano la visibilità del cane anche in condizioni di scarsa illuminazione</li>
<li>si adatta a diverse corporature grazie alla regolazione sulla vita e sul collo</li>
<li>elastici per zampe regolabili</li>
<li>foro passante sulla schiena adatto per il passaggio del guinzaglio connesso sia a collari che a pettorine</li>
<li>particolarmente gradito anche dai cani di grandi dimensioni che non amano vestirsi perchè è <strong>facile da indossare, confortevole e silenzioso quando indossato</strong>
</li>
<li>disponibile nel <strong>colore: nero con dettagli verdoni</strong>
</li>
<li>disponibile nelle <strong>misure: 50 cm - 55 cm - 60 cm - 65 cm - 70 cm - 80 cm</strong> (segui con il metro il dorso del tuo cane per scegliere la taglia più adatta)</li>
</ul>
<p>Consigliato l’utilizzo con temperature superiori uguali a 5 °c, o con temperature più fredde nel caso in cui il cane non necessiti di essere protetto dal freddo ma solo dalla pioggia e dal vento.</p>
<p><span style=""text-decoration: underline;"">Non rinunciare allo stile, oltre che ad un'ottima copertura, durante l'inverno... Scegli Croci Hiking!</span></p>"
15622256394565,Impermeabile Everest Croci Hiking,"<p><strong>Impermeabile Everest Croci Hiking</strong>  è una giacca impermeabile ideale anche nelle giornate più fredde grazie alla speciale fodera in termo-pile che favorisce l’isolamento termico, il comfort del capo e agevola la termoregolazione pur mantenendo la traspirabilità. Il trattamento Impermeabile del tessuto esterno <strong>protegge il cane dalla pioggia e dal vento</strong>.</p>
<p>Caratteristiche principali:</p>
<ul>
<li>disponibile nel colore: turchese</li>
<li>disponibile nelle <strong>misure: 50 cm - 55 cm - 60 cm - 65 cm</strong> (misura il dorso del tuo cane con un metro, per compiere la scelta giusta)</li>
<li>fodera interna in termo-pile</li>
<li>capo robusto, silenzioso e si adatta al movimento del cane</li>
<li>
<strong>con dettagli riflettenti</strong> per aumentare la visibilità del cane anche in condizioni più cupe</li>
<li>dotato di collare anti-goccia</li>
<li>con coulisse sulla vita, collo e coda, che rende l<strong>'impermeabile ben adattabile a diverse corporature</strong>
</li>
<li>fodera del collo realizzata in eco pelliccia, per un tocco glamour</li>
</ul>
<p>Non perderti il <strong><a href=""https://www.youtube.com/watch?v=4mxp739FAAc"">Video dedicato</a> </strong>all'abbigliamento tecnico outdoor Croci, per maggiori informazioni sul prodotto.</p>"
15622255378757,Piumino Caldoso Plus Ferribiella,"<p><strong>Piumino Caldoso Plus Ferribiella</strong> è uno dei capi della linea Abbigliamento e Accessori <span style=""text-decoration: underline;"">best seller del brand</span>. Morbido e dal semplice design, terrà al caldo il tuo amico a quattro zampe durante l'inverno e/o con la pioggia.</p>
<p>Caratteristiche principali:</p>
<div class=""prose"">
<ul>
<li>tessuto interno in <strong>morbida ciniglia </strong>
</li>
<li>asola per collare</li>
<li>scollo a V con chiusura in velcro</li>
<li>elastici staccabili per le zampe</li>
<li>sottopancia regolabile con velcro</li>
<li>composizione esterno: 100% Nylon</li>
<li>composizione interno: 96% poliestere, 4% spandex</li>
<li>imbottitura: 100% poliestere</li>
<li>disponibile nei <strong>colori: Blu- Verde - Bourdeux</strong>
</li>
<li>disponibile in diverse taglie <strong>*</strong>
</li>
</ul>
</div>
<p><strong>*</strong> Per la scelta della giusta taglia, misurare il dorso del cane con centimetro alla mano, dalla base del collo alla coda. </p>
<p><span style=""text-decoration: underline;"">Non farti trovare impreparato all'arrivo dell'inverno... scegli Ferribiella.</span></p>"
15622261932357,Impermeabile per cani con pochette Pocket Ferribiella,"<p>Il cappottino per cani <strong>Ferribiella Pocket </strong>è perfetto per proteggere il tuo fedele amico da pioggia e umidità. Pratico da portare sempre con te, grazie alla pochette in dotazione, all'interno del quale potrai facilmente riporre l'impermeabile per cani Ferribiella.</p>
<p>Per i fido più freddolosi, ma che non vogliono rinunciare allo stile nemmeno nelle giornate invernali più gelide, è essenziale una protezione scegliendo i cappottini per cani, i maglionici, i piumini per cani e gli impermeabili più alla moda!</p>
<p>Pratico da indossare, è un accessorio per cani che riesce a combinare <strong>numerosi vantaggi: </strong></p>
<div class=""prose"">
<ul>
<li>la <strong>fodera</strong> consente di mantenere Fido al caldo; </li>
<li>
<strong>impermeabile </strong>per riparare dalle intemperie;</li>
<li>con <strong>chiusura a velcro</strong> su dorso e collo per adattarsi meglio alle varie taglie;</li>
<li>disponibile nelle colorazioni: rosa, nero, rosso, verde</li>
</ul>
</div>
<p>Grazie agli <strong>appositi lacci</strong>, è possibile ancorarlo saldamente alle zampe posteriori e garantire in tal modo una perfetta <strong>vestibilità e aderenza al corpo del cane</strong>.</p>
<p>Il pratico foro alla base del collo consente l’aggancio del guinzaglio al collare.</p>
<p>Esterno: 100% Poliestere; Imbottitura: 100% Poliestere.</p>
<p>Lavabile a 30°.</p>
<p><strong>Ferribiella</strong> è un brand italiano completamente dedicato al <strong>Pet Comfort</strong>: propone una vastissima scelta di prodotti, realizzati con colori e materiali di prima scelta, per la massima soddisfazione dei principali bisogni fisici ed emotivi dei nostri animali domestici.</p>
<p><strong>Cerca la taglia più adatta al tuo fido, tra le varianti. Misurando in cm dal collo alla base della coda, seguendo il dorso.</strong></p>"
15622361317701,Impermeabile per cane tuta imbottita da escursionismo in pile Croci Hiking,"<p>L' <strong>Impermeabile per cane tuta imbottita in pile Croci Hiking</strong> è l'accessorio ideale durante l'escursionismo con il tuo amico a quattro zampe. Impermeabile per cani antivento, confortevole al tatto e regolabile, è ideale per proteggere il tuo Pet dal freddo, senza mai rinunciare allo stile. </p>
<p>Disponibile in blu l’impermeabile per cani è ideale per favorire l’isolamento termico grazie alla presenza in fodera interna in pile.</p>
<h3>Impermeabile cane antivento con fodera in pile e dettagli catarifrangenti.</h3>
<p>Caratteristiche principali:</p>
<div class=""prose"">
<ul>
<li>Mantella impermeabile cane</li>
<li>Imbottito e anti-vento</li>
<li>Capo realizzato con un tessuto silenzioso è stato studiato per adattarsi perfettamente ai movimenti dell’animale senza infastidirlo</li>
<li>L’impermeabile per cani è ideale per favorire l’isolamento termico grazie alla presenza in fodera interna in pileChiusura a coulisse sulle zampe</li>
<li>Disponibile in diverse misure, scegli la più indicata alla taglia del tuo cane</li>
<li>I dettagli catarifrangenti rendono il capo perfetto da utilizzare durante momenti di scarsa luminosità</li>
<li>Impermeabile cane con tenuta termica adatta al clima più rigido</li>
</ul>
</div>
<p>La linea Hiking è composta da abbigliamento tecnico per cani studiato per soddisfare tutte le esigenze dell’animale durante le gite fuori porta. I materiali scelti per l’impermeabile cane Hiking Padded Tracksuit offrono protezione durante le peggiori condizioni climatiche e il massimo comfort di vestibilità per far vivere al tuo pet ogni momento di condivisione e gioco all’aria aperta.</p>
<h3 class=""prose"">Giacca impermeabile cane con imbottitura</h3>
<p>Hiking Padded Tracksuit è realizzato all’esterno in neoprene e favorisce l’isolamento termico grazie alla presenza di una fodera interna in pile. Questo capo d’abbigliamento per cani è realizzato con lo scopo di garantire pieno comfort una volta indossato e grazie all’imbottitura garantisce una tenuta termica anche nelle giornate più fredde.</p>
<p>Il trattamento del tessuto esterno lo rende super impermeabile, resistente all’unto e anti-vento. I dettagli riflettenti aumentano le visibilità del cane anche in condizioni di scarsa illuminazione.</p>
<h3>Non sbagliare la taglia! Scopri come fare</h3>
<p>Il prodotto è disponibile in <u>numerose dimensioni:</u> 30-32 cm, 47-50 cm, 40 cm. 65-68 cm, inoltre è dotato di chiusure a coulisse sulle zampe.</p>
<p>Per facilitarti nella scelta della taglia più adatta per il tuo cane, non perderti il <a href=""https://www.youtube.com/watch?time_continue=1&amp;v=zdmPZJPkk2s&amp;feature=emb_logo""><strong>video spiegazione</strong></a> su come prendere in modo preciso le misure del tuo pet, in questo modo non potrai più sbagliare.</p>"
15622361448773,Cappotto per cani Greyhound Leather Croci,"<p>Il <strong>Cappotto per cani Greyhound Leather Croci</strong>, è il capo d'abbigliamento realizzato in finta pelle grigia trapuntata, oppure nella variante tinta unita, reso caldo e confortevole grazie alla presenza di una fodera interna in morbido velluto. </p>
<p>Impermeabile per cani ispirato alle tendenze del momento, per essere sempre alla moda, anche durante le passeggiate a quattro zampe. Prodotto in Italia. Greyhound è il modello di cappotti studiato appositamente per ottenere una perfetta vestibilità sulla corpo allungato e magro della razza di cane Levriero.</p>
<h3>Caratteristiche principali del cappottino per cane Croci:</h3>
<div class=""prose"">
<ul>
<li>fodera interna in velluto</li>
<li>finta pelle trapuntata, ad altezza del collo del cane e della coda</li>
<li>con elastici sulle anche inferiori, per una maggiore vestibilità </li>
<li>con foro per il passaggio della coda</li>
<li>vestibilità del capo d'abbigliamento per cani, pensato per levrieri</li>
<li>disponibile in diverse misure, scegli la più indicata alla taglia del tuo amico fido</li>
<li>regolabile con tessuto a strappi</li>
<li>Misure disponibili: 47 cm, 55 cm, 60 cm, 65 cm, 70 cm, 75 cm</li>
</ul>
</div>
<h3>Come scegliere la misura del cappottino per il tuo cane?</h3>
<p>Per scegliere la misura corretta della maglietta del cane, dell'impermeabile o del cappottino occorre rilevare, con un centimetro alla mano, la distanza dal garrese alla coda lungo la schiena del tuo cane, ovvero la distanza in centimetri dal collo alla coda del cane.</p>
<p>La misurazione va effettuata partendo dalla base del collo fino all'attaccatura della coda. Nella fase di misurazione, assicurarsi che il cane sia correttamente in piedi e ben eretto sulle zampe.</p>
<p>Sulla base della misura rilevata, selezionare la taglia di cappottino più corretta.</p>
<p><u>Esempio:</u> la schiena del mio cane misura 35 cm e il cappottino che desidero acquistare viene confezionato nelle misure 34 cm e 38 cm: dovrò ordinare la taglia 38 affinchè il cappotto calzi correttamente al mio cane perché la 34 risulterebbe piccola.</p>
<h3>Cappotti per Levrieri semplici da indossare e con un'ottima vestibilità</h3>
<p>La perfetta vestibilità di questi cappotti è garantita dalla presenza di elastici che fasciano perfettamente le pancia e le zampe del tuo pet senza irritarne la cute o il pelo.</p>
<p>Inoltre, la pratica chiusura in velcro e il foro per agganciare facilmente il guinzaglio e la pettorina rendono questi giubbotti cane uno dei migliori capi d’abbigliamento del mondo pet.</p>"
15622380388677,Impermeabile Rain Fucsia Ferribiella,"<p><strong>L'impermeabile per cani Ferribiella Rain</strong>, è l'accessorio ideale per le passeggiate con vento e pioggia leggera. Progettato ed elaborato per proteggere il tuo cane dai cambiamenti climatici.</p>
<p>Caratteristiche principali dell'impermeabile per cani:</p>
<div class=""prose"">
<ul>
<li>
<strong>Imbottitura interna removile</strong> in pile e cotone</li>
<li>Asola per collare</li>
<li>Pratica chiusura in velcro sul dorso</li>
<li><strong>Scollo a V con chiusura in velcro</strong></li>
<li>Elastici per far tendere l'impermeabile saldo sulle zampe</li>
<li>Composizione esterna:100% Pelle sintetica</li>
<li>Composizione interno: 100% Poliestere</li>
<li>Imbottitura removibile: 80% Cotone - 20% Poliestere</li>
</ul>
</div>
<p><strong>Acquista i migliori accessori e capi d'abbigliamento per il tuo animale domestico, sul nostro Pet Shop. Bauzaar.it è con te sempre!</strong></p>"
